pclass,sex,age,sibsp,parch,ticket,fare,survived,,,,,,,,
3,1,19,0,0,680,15.5,1,,,,,,,,
3,1,18,0,0,693,7.75,0,,,,,,,,
3,0,22,0,0,694,7.8958,0,,,,,,,,
3,1,15,0,0,695,7.225,1,,,,,,,,
1,1,38,0,0,1222,0,0,,,,,,,,
1,1,56,0,0,1601,26.55,0,,,,,,,,
1,0,56,0,0,1601,30.6958,0,,,,,,,,
1,1,24,1,0,1601,60,0,,,,,,,,
1,1,19,0,0,1601,26,0,,,,,,,,
1,1,18,1,0,1601,60,1,,,,,,,,
1,0,24,1,0,1601,82.2667,1,,,,,,,,
1,0,23,1,0,1601,82.2667,1,,,,,,,,
1,1,6,0,2,1601,134.5,1,,,,,,,,
1,0,31,0,0,2003,134.5,1,,,,,,,,
1,1,19,0,0,2003,35.5,1,,,,,,,,
2,1,32,1,0,2223,26,1,,,,,,,,
2,1,63,1,0,2543,26,0,,,,,,,,
2,1,60,1,0,2620,26,0,,,,,,,,
2,1,33,0,0,2621,12.275,0,,,,,,,,
3,1,19,1,0,2621,6.4375,0,,,,,,,,
2,1,17,0,0,2622,10.5,1,,,,,,,,
2,1,42,1,0,2623,27,0,,,,,,,,
2,1,24,2,1,2624,27,1,,,,,,,,
2,1,47,0,0,2625,15,0,,,,,,,,
2,1,24,2,0,2625,31.5,0,,,,,,,,
3,0,0.4167,0,1,2625,8.5167,1,,,,,,,,
3,1,16,1,1,2625,8.5167,1,,,,,,,,
2,1,22,2,0,2626,31.5,0,,,,,,,,
2,0,32,0,0,2627,10.5,0,,,,,,,,
2,1,23,0,0,2627,13.7917,1,,,,,,,,
3,1,19,0,0,2627,14.4583,0,,,,,,,,
2,1,34,1,0,2628,26,0,,,,,,,,
3,1,45.5,0,0,2628,7.225,0,,,,,,,,
2,1,24,1,0,2629,26,1,,,,,,,,
3,1,19,0,0,2629,7.2292,0,,,,,,,,
2,1,22,0,0,2631,21,0,,,,,,,,
2,0,57,0,0,2641,12.35,0,,,,,,,,
3,1,19,0,0,2641,7.2292,0,,,,,,,,
2,1,19,0,0,2647,0,0,,,,,,,,
3,0,19,0,0,2647,7.225,0,,,,,,,,
2,1,31,0,0,2648,10.5,0,,,,,,,,
2,1,26,1,1,2649,26,0,,,,,,,,
2,1,30,1,1,2650,26,0,,,,,,,,
2,1,19,0,0,2650,10.7083,0,,,,,,,,
2,0,1,1,2,2650,41.5792,1,,,,,,,,
3,1,7,1,1,2650,15.2458,1,,,,,,,,
3,0,9,1,1,2650,15.2458,1,,,,,,,,
3,1,29,0,2,2650,15.2458,1,,,,,,,,
2,1,3,1,2,2651,41.5792,1,,,,,,,,
2,1,25,1,2,2651,41.5792,0,,,,,,,,
2,0,22,1,2,2652,41.5792,1,,,,,,,,
2,0,17,0,0,2653,12,1,,,,,,,,
2,1,19,0,0,2653,33,1,,,,,,,,
2,0,34,0,0,2653,10.5,1,,,,,,,,
2,1,36,0,0,2654,12.875,0,,,,,,,,
2,1,24,0,0,2655,10.5,0,,,,,,,,
2,1,61,0,0,2656,12.35,0,,,,,,,,
3,1,26.5,0,0,2656,7.225,0,,,,,,,,
2,0,50,1,0,2657,26,0,,,,,,,,
2,0,42,1,0,2658,26,1,,,,,,,,
3,1,22,0,0,2658,7.225,1,,,,,,,,
2,0,57,0,0,2659,10.5,0,,,,,,,,
2,1,19,0,0,2659,15.0458,0,,,,,,,,
3,0,27,1,0,2659,14.4542,0,,,,,,,,
3,1,15,1,0,2659,14.4542,1,,,,,,,,
2,1,1,0,2,2660,37.0042,1,,,,,,,,
2,0,31,1,1,2660,37.0042,0,,,,,,,,
2,0,24,1,1,2661,37.0042,1,,,,,,,,
2,1,19,0,0,2661,15.5792,0,,,,,,,,
2,1,30,0,0,2661,13,0,,,,,,,,
2,1,40,0,0,2662,16,0,,,,,,,,
2,0,32,0,0,2662,13.5,0,,,,,,,,
2,0,30,0,0,2662,13,0,,,,,,,,
3,1,19,2,0,2662,21.6792,0,,,,,,,,
3,0,19,2,0,2662,21.6792,0,,,,,,,,
3,1,19,2,0,2662,21.6792,0,,,,,,,,
2,1,46,0,0,2663,26,0,,,,,,,,
2,0,13,0,1,2664,19.5,1,,,,,,,,
2,1,41,0,1,2665,19.5,1,,,,,,,,
2,1,19,0,0,2665,10.5,1,,,,,,,,
3,1,14.5,1,0,2665,14.4542,0,,,,,,,,
3,0,19,1,0,2665,14.4542,0,,,,,,,,
2,1,39,0,0,2666,13,0,,,,,,,,
2,0,48,0,0,2666,13,0,,,,,,,,
2,0,70,0,0,2666,10.5,0,,,,,,,,
2,0,27,0,0,2666,13,0,,,,,,,,
2,0,54,0,0,2667,14,0,,,,,,,,
2,1,39,0,0,2668,26,0,,,,,,,,
2,0,16,0,0,2668,10.5,0,,,,,,,,
2,1,62,0,0,2668,9.6875,0,,,,,,,,
3,1,19,1,1,2668,22.3583,1,,,,,,,,
3,1,19,1,1,2668,22.3583,1,,,,,,,,
3,0,19,0,2,2668,22.3583,1,,,,,,,,
2,0,32.5,1,0,2669,30.0708,0,,,,,,,,
3,0,22,0,0,2669,7.2292,0,,,,,,,,
2,1,14,1,0,2670,30.0708,1,,,,,,,,
3,1,27,0,0,2670,7.225,0,,,,,,,,
2,1,36.5,0,2,2671,26,0,,,,,,,,
3,0,19,0,0,2671,7.2292,0,,,,,,,,
2,1,26,0,0,2672,13,0,,,,,,,,
3,1,25,0,0,2672,7.225,0,,,,,,,,
2,0,19,1,1,2673,36.75,0,,,,,,,,
3,1,19,0,0,2673,7.2292,0,,,,,,,,
2,1,28,0,0,2674,13.5,0,,,,,,,,
2,0,20,0,0,2675,13.8625,1,,,,,,,,
2,0,29,0,0,2676,10.5,1,,,,,,,,
3,0,19,0,0,2676,7.225,0,,,,,,,,
2,1,39,0,0,2677,13,0,,,,,,,,
2,0,22,0,0,2678,10.5,1,,,,,,,,
2,1,19,0,0,2678,13.8625,1,,,,,,,,
2,0,23,0,0,2678,10.5,0,,,,,,,,
2,1,29,0,0,2679,13.8583,1,,,,,,,,
2,1,28,0,0,2680,10.5,0,,,,,,,,
2,0,19,0,0,2680,0,0,,,,,,,,
2,0,50,0,1,2681,26,1,,,,,,,,
3,1,19,0,0,2681,6.4375,0,,,,,,,,
2,0,19,0,0,2682,10.5,0,,,,,,,,
2,0,19,0,0,2683,15.05,0,,,,,,,,
2,1,41,0,0,2684,13,0,,,,,,,,
3,0,19,0,0,2684,7.225,0,,,,,,,,
2,0,21,0,1,2685,21,1,,,,,,,,
2,1,19,0,0,2686,26,1,,,,,,,,
2,0,43,0,1,2687,21,0,,,,,,,,
2,0,32,0,0,2688,13,1,,,,,,,,
3,1,38,0,0,2688,7.2292,1,,,,,,,,
2,0,34,0,0,2689,13,0,,,,,,,,
2,0,30,0,0,2689,12.7375,1,,,,,,,,
2,1,27,0,0,2690,15.0333,0,,,,,,,,
2,0,2,1,1,2691,26,1,,,,,,,,
2,1,8,1,1,2691,26,1,,,,,,,,
2,1,33,0,2,2692,26,1,,,,,,,,
2,0,36,0,0,2693,10.5,0,,,,,,,,
2,0,34,1,0,2694,21,0,,,,,,,,
2,1,30,3,0,2695,21,1,,,,,,,,
2,1,28,0,0,2696,13,1,,,,,,,,
2,1,23,0,0,2697,15.0458,0,,,,,,,,
3,1,28.5,0,0,2697,7.2292,0,,,,,,,,
2,0,0.8333,1,1,2698,18.75,1,,,,,,,,
2,0,3,1,1,2699,18.75,1,,,,,,,,
2,1,24,2,3,2699,18.75,1,,,,,,,,
2,1,50,0,0,2700,10.5,1,,,,,,,,
2,0,31,0,0,2908,21,1,,,,,,,,
2,1,30,1,0,2908,21,0,,,,,,,,
2,1,0.9167,1,2,2926,27.75,1,,,,,,,,
2,0,5,1,2,2926,27.75,1,,,,,,,,
3,0,19,0,2,3410,7.75,0,,,,,,,,
3,1,19,0,0,3410,8.7125,0,,,,,,,,
3,1,40,1,1,3411,15.5,0,,,,,,,,
3,1,19,0,0,3411,8.7125,0,,,,,,,,
3,1,36,0,0,3460,7.4958,0,,,,,,,,
3,1,24,0,0,3470,7.4958,0,,,,,,,,
3,1,32,0,0,3474,7.75,0,,,,,,,,
3,1,36,1,0,3701,15.55,0,,,,,,,,
3,1,60.5,0,0,3701,254.12,0,,,,,,,,
3,1,6,0,1,4133,12.475,1,,,,,,,,
3,0,27,0,1,4133,12.475,1,,,,,,,,
3,1,19,0,0,4133,8.05,0,,,,,,,,
3,1,19,1,0,4133,24.15,1,,,,,,,,
3,1,19,1,0,4133,24.15,0,,,,,,,,
3,0,19,0,0,4134,8.4583,0,,,,,,,,
3,1,63,0,0,4134,9.5875,1,,,,,,,,
3,1,34,0,0,4135,8.05,0,,,,,,,,
3,1,19,0,0,4136,7.75,0,,,,,,,,
3,1,19,0,0,4137,7.775,1,,,,,,,,
3,0,19,1,1,4138,15.2458,1,,,,,,,,
3,1,18,0,0,4138,9.8417,1,,,,,,,,
3,1,19,1,1,4579,15.2458,1,,,,,,,,
3,1,19,0,0,5727,8.05,0,,,,,,,,
3,1,19,1,0,6563,15.5,1,,,,,,,,
3,1,20,0,0,6563,9.225,0,,,,,,,,
3,1,1,0,2,7266,15.7417,1,,,,,,,,
3,0,24,0,0,7266,9.325,0,,,,,,,,
3,1,20,1,1,7267,15.7417,1,,,,,,,,
3,1,23,0,0,7267,9.225,0,,,,,,,,
3,1,19,1,1,7534,15.7417,1,,,,,,,,
3,0,33,0,0,7534,8.05,0,,,,,,,,
3,1,16,0,0,7534,9.2167,0,,,,,,,,
3,1,19,0,0,7538,7.8958,0,,,,,,,,
3,1,14,0,0,7538,9.225,1,,,,,,,,
3,1,19,0,0,7540,7.2292,0,,,,,,,,
3,0,19,0,0,7545,7.75,0,,,,,,,,
3,1,19,0,0,7546,7.8958,0,,,,,,,,
3,1,12,1,0,7548,11.2417,1,,,,,,,,
3,0,14,1,0,7552,11.2417,1,,,,,,,,
3,1,29,0,0,7553,7.925,0,,,,,,,,
3,1,22,0,0,7553,9.8375,0,,,,,,,,
3,1,28,0,0,7598,8.05,0,,,,,,,,
3,1,18,0,0,7935,7.775,1,,,,,,,,
3,0,26,0,0,8471,7.8542,1,,,,,,,,
3,1,21,0,0,8475,7.8542,0,,,,,,,,
3,1,41,0,0,9232,7.125,0,,,,,,,,
3,1,39,0,0,9234,7.925,1,,,,,,,,
1,1,55,0,0,11668,30.5,0,,,,,,,,
1,1,47,0,0,11668,42.4,0,,,,,,,,
1,0,37,0,1,11751,29.7,0,,,,,,,,
1,1,31,1,0,11751,113.275,1,,,,,,,,
1,1,23,1,0,11752,113.275,1,,,,,,,,
1,0,58,0,2,11753,113.275,0,,,,,,,,
1,1,19,0,2,11753,26.2833,1,,,,,,,,
1,0,64,0,0,11755,26,0,,,,,,,,
1,1,39,0,0,11765,108.9,1,,,,,,,,
1,1,19,0,0,11765,25.7417,1,,,,,,,,
1,0,22,0,1,11767,61.9792,1,,,,,,,,
1,0,65,0,1,11767,61.9792,0,,,,,,,,
1,1,28.5,0,0,11767,27.7208,0,,,,,,,,
1,0,19,0,0,11769,0,0,,,,,,,,
1,0,45.5,0,0,11769,28.5,0,,,,,,,,
1,0,23,0,0,11770,93.5,0,,,,,,,,
1,0,29,1,0,11771,66.6,0,,,,,,,,
1,1,22,1,0,11774,66.6,1,,,,,,,,
1,0,18,1,0,11778,108.9,0,,,,,,,,
1,1,17,1,0,11778,108.9,1,,,,,,,,
1,1,30,0,0,11813,93.5,1,,,,,,,,
1,0,52,0,0,11813,30.5,1,,,,,,,,
1,1,47,0,0,11967,52,0,,,,,,,,
1,1,56,0,1,11967,83.1583,1,,,,,,,,
1,1,19,0,0,12233,39.6,1,,,,,,,,
1,1,22,0,0,12460,135.6333,0,,,,,,,,
1,0,19,0,0,12749,227.525,0,,,,,,,,
1,1,43,0,1,12749,211.3375,1,,,,,,,,
1,0,31,0,0,12749,50.4958,0,,,,,,,,
1,1,45,0,0,12749,26.55,1,,,,,,,,
1,1,19,0,0,13049,50,0,,,,,,,,
1,0,33,0,0,13050,27.7208,1,,,,,,,,
1,1,46,0,0,13050,79.2,0,,,,,,,,
1,1,36,0,0,13213,40.125,0,,,,,,,,
1,1,33,0,0,13214,86.5,1,,,,,,,,
1,1,55,1,0,13236,59.4,0,,,,,,,,
1,0,54,1,0,13236,59.4,1,,,,,,,,
1,0,33,0,0,13502,26.55,0,,,,,,,,
1,0,13,2,2,13502,262.375,1,,,,,,,,
1,1,18,2,2,13502,262.375,1,,,,,,,,
1,0,21,2,2,13507,262.375,1,,,,,,,,
1,1,61,1,3,13507,262.375,0,,,,,,,,
1,0,48,1,3,13508,262.375,1,,,,,,,,
1,0,19,0,0,13508,30.5,1,,,,,,,,
1,1,24,0,0,13509,69.3,1,,,,,,,,
1,0,19,0,0,13567,26,1,,,,,,,,
1,1,35,1,0,13567,57.75,1,,,,,,,,
1,1,30,0,0,13568,31,1,,,,,,,,
1,1,34,0,0,13695,26.55,1,,,,,,,,
1,0,40,0,0,13695,153.4625,1,,,,,,,,
1,1,35,0,0,13905,26.2875,1,,,,,,,,
1,1,50,1,0,14311,55.9,0,,,,,,,,
3,0,19,0,0,14311,7.75,1,,,,,,,,
1,1,39,1,0,14312,55.9,1,,,,,,,,
1,1,56,0,0,14313,35.5,1,,,,,,,,
1,0,28,0,0,14973,35.5,1,,,,,,,,
1,0,45,1,1,16966,134.5,1,,,,,,,,
1,1,40,1,1,16966,134.5,1,,,,,,,,
1,1,57,1,0,16966,146.5208,0,,,,,,,,
1,0,19,1,0,16966,146.5208,1,,,,,,,,
1,0,32,0,0,16966,30.5,1,,,,,,,,
1,1,62,0,0,16988,26.55,0,,,,,,,,
1,1,54,1,0,17421,55.4417,1,,,,,,,,
1,0,43,1,0,17421,55.4417,1,,,,,,,,
1,1,52,1,0,17421,78.2667,1,,,,,,,,
1,0,19,0,0,17421,27.7208,0,,,,,,,,
1,1,62,0,0,17453,80,1,,,,,,,,
1,0,67,1,0,17453,221.7792,0,,,,,,,,
1,1,63,1,0,17463,221.7792,0,,,,,,,,
1,1,61,0,0,17463,32.3208,0,,,,,,,,
1,1,48,0,0,17464,25.9292,1,,,,,,,,
1,1,18,0,2,17464,79.65,1,,,,,,,,
1,0,52,1,1,17465,79.65,0,,,,,,,,
1,1,39,1,1,17466,79.65,1,,,,,,,,
1,1,48,1,0,17474,52,1,,,,,,,,
1,1,19,1,0,17474,52,1,,,,,,,,
1,0,49,1,1,17475,110.8833,0,,,,,,,,
1,1,17,0,2,17764,110.8833,1,,,,,,,,
1,1,39,1,1,17765,110.8833,1,,,,,,,,
1,1,19,0,0,17770,79.2,1,,,,,,,,
1,0,31,0,0,19877,28.5375,1,,,,,,,,
1,1,40,0,0,19877,27.7208,0,,,,,,,,
1,1,61,0,0,19877,33.5,0,,,,,,,,
1,0,47,0,0,19924,34.0208,0,,,,,,,,
1,0,35,0,0,19928,512.3292,1,,,,,,,,
1,0,64,1,0,19928,75.25,0,,,,,,,,
1,1,60,1,0,19928,75.25,1,,,,,,,,
1,0,60,0,0,19943,26.55,0,,,,,,,,
1,1,54,0,1,19943,77.2875,0,,,,,,,,
1,1,21,0,1,19947,77.2875,0,,,,,,,,
1,1,55,0,0,19950,135.6333,1,,,,,,,,
1,1,31,0,2,19950,164.8667,1,,,,,,,,
1,0,57,1,1,19950,164.8667,0,,,,,,,,
1,0,45,1,1,19950,164.8667,1,,,,,,,,
1,1,50,1,1,19950,211.5,0,,,,,,,,
1,0,27,0,2,19950,211.5,0,,,,,,,,
1,0,50,1,1,19952,211.5,1,,,,,,,,
1,1,21,0,0,19972,26.55,1,,,,,,,,
1,0,51,0,1,19988,61.3792,0,,,,,,,,
1,1,21,0,1,19996,61.3792,1,,,,,,,,
1,1,19,0,0,19996,35,0,,,,,,,,
2,0,30,1,0,21228,24,0,,,,,,,,
2,1,28,1,0,21228,24,1,,,,,,,,
2,0,30,0,0,21332,13,0,,,,,,,,
2,1,18,0,0,21440,11.5,0,,,,,,,,
2,0,54,0,0,24065,26,0,,,,,,,,
2,0,8,0,2,24065,32.5,1,,,,,,,,
1,0,29,0,0,24160,211.3375,1,,,,,,,,
2,1,34,1,1,24160,32.5,1,,,,,,,,
2,1,27,1,0,24160,13.8583,1,,,,,,,,
2,0,30,1,0,24160,13.8583,1,,,,,,,,
2,1,19,0,0,26360,12.35,1,,,,,,,,
2,1,35,0,0,26360,12.35,0,,,,,,,,
2,1,45,0,0,26360,13.5,1,,,,,,,,
2,1,2,1,1,26707,26,1,,,,,,,,
2,1,3,1,1,26707,26,1,,,,,,,,
2,0,19,0,0,27042,10.5,0,,,,,,,,
2,1,21,0,0,27267,10.5,1,,,,,,,,
2,1,26,0,0,27849,13,0,,,,,,,,
2,0,25,0,0,28004,13,0,,,,,,,,
2,1,27,0,0,28034,26,0,,,,,,,,
2,0,25,0,1,28133,26,1,,,,,,,,
2,1,18,0,2,28134,13,1,,,,,,,,
2,1,20,0,0,28206,36.75,1,,,,,,,,
2,1,30,0,0,28213,13,1,,,,,,,,
2,1,59,0,0,28220,13.5,0,,,,,,,,
2,1,30,0,0,28220,12.35,1,,,,,,,,
2,1,35,0,0,28220,10.5,0,,,,,,,,
2,1,40,0,0,28221,13,1,,,,,,,,
2,1,25,0,0,28228,13,0,,,,,,,,
2,0,41,0,0,28403,15.0458,0,,,,,,,,
2,1,25,0,0,28403,10.5,0,,,,,,,,
2,0,18.5,0,0,28404,13,0,,,,,,,,
2,0,14,0,0,28424,65,0,,,,,,,,
2,0,50,0,0,28425,10.5,1,,,,,,,,
2,0,23,0,0,28551,13,0,,,,,,,,
2,0,28,0,0,28664,12.65,1,,,,,,,,
2,0,27,0,0,28664,10.5,1,,,,,,,,
2,1,29,1,0,28665,21,0,,,,,,,,
2,1,27,1,0,28666,21,0,,,,,,,,
2,1,40,0,0,29011,13,0,,,,,,,,
2,1,23,1,0,29103,10.5,0,,,,,,,,
2,1,31,0,0,29103,21,1,,,,,,,,
2,0,19,0,0,29103,0,0,,,,,,,,
2,1,12,0,0,29104,15.75,1,,,,,,,,
2,1,40,0,0,29105,15.75,1,,,,,,,,
2,1,32.5,0,0,29105,13,1,,,,,,,,
2,1,27,1,0,29106,26,0,,,,,,,,
2,1,29,1,0,29106,26,1,,,,,,,,
2,1,2,1,1,29106,23,1,,,,,,,,
2,0,4,1,1,29107,23,1,,,,,,,,
2,1,29,0,2,29108,23,1,,,,,,,,
2,0,36,1,2,29750,27.75,0,,,,,,,,
2,1,33,1,2,29750,27.75,1,,,,,,,,
2,1,66,0,0,29750,10.5,0,,,,,,,,
2,0,19,0,0,29751,12.875,0,,,,,,,,
3,1,24,0,0,31027,7.05,0,,,,,,,,
3,1,25,0,0,31027,7.05,0,,,,,,,,
3,1,35,0,0,31028,8.05,0,,,,,,,,
3,1,4,4,2,31418,31.275,0,,,,,,,,
3,1,45,0,0,32302,7.225,1,,,,,,,,
3,1,19,0,0,32302,8.05,0,,,,,,,,
3,1,6,1,1,33638,15.2458,0,,,,,,,,
3,1,9,1,1,33638,15.2458,0,,,,,,,,
3,1,19,0,0,33638,7.225,0,,,,,,,,
3,1,21,0,0,34218,16.1,0,,,,,,,,
3,1,31,0,0,35273,7.775,0,,,,,,,,
3,0,29,0,0,35273,7.8542,0,,,,,,,,
3,1,4,1,1,35273,11.1333,1,,,,,,,,
3,1,1,1,1,35281,11.1333,1,,,,,,,,
3,0,49,0,0,35281,0,0,,,,,,,,
3,1,33,0,0,35851,7.775,0,,,,,,,,
3,1,19,0,0,35852,0,0,,,,,,,,
3,1,19,1,2,36209,23.45,0,,,,,,,,
3,1,19,0,0,36209,7.725,0,,,,,,,,
3,0,4,0,2,36568,22.025,1,,,,,,,,
3,1,29,3,1,36568,22.025,1,,,,,,,,
3,0,22,0,0,36864,7.775,0,,,,,,,,
3,1,22,0,0,36865,7.225,1,,,,,,,,
3,1,19,3,1,36866,25.4667,0,,,,,,,,
3,1,19,0,4,36928,25.4667,0,,,,,,,,
3,0,32,0,0,36928,7.925,0,,,,,,,,
3,1,34.5,0,0,36928,6.4375,0,,,,,,,,
3,0,19,1,0,36928,15.5,0,,,,,,,,
3,0,19,1,0,36947,15.5,0,,,,,,,,
3,0,36,0,0,36947,0,0,,,,,,,,
3,1,39,0,0,36963,24.15,0,,,,,,,,
3,1,24,0,0,36967,9.5,0,,,,,,,,
3,1,25,0,0,36973,7.775,0,,,,,,,,
3,1,45,0,0,36973,7.75,0,,,,,,,,
3,1,19,0,2,54636,15.2458,1,,,,,,,,
3,1,19,0,0,54636,7.2292,1,,,,,,,,
3,0,28.5,0,0,54636,16.1,0,,,,,,,,
3,1,19,0,0,65303,7.7333,1,,,,,,,,
3,0,24,0,0,65304,7.75,1,,,,,,,,
3,1,19,0,0,65305,8.05,0,,,,,,,,
3,1,19,0,0,65305,8.1125,0,,,,,,,,
3,0,19,1,0,65306,15.5,1,,,,,,,,
1,1,36,0,0,110152,26.3875,1,,,,,,,,
1,0,30,0,0,110152,27.75,0,,,,,,,,
1,1,24,3,2,110152,263,1,,,,,,,,
1,0,28,3,2,110413,263,1,,,,,,,,
1,1,23,3,2,110413,263,1,,,,,,,,
1,0,19,3,2,110413,263,0,,,,,,,,
1,0,64,1,4,110465,263,0,,,,,,,,
1,0,60,1,4,110465,263,1,,,,,,,,
1,1,30,0,0,110469,56.9292,1,,,,,,,,
1,1,19,0,0,110489,26.55,0,,,,,,,,
1,1,50,2,0,110564,133.65,1,,,,,,,,
1,1,43,1,0,110813,27.7208,1,,,,,,,,
1,0,19,1,0,110813,133.65,1,,,,,,,,
1,1,22,0,2,111163,49.5,1,,,,,,,,
1,0,60,1,1,111240,79.2,1,,,,,,,,
1,1,48,1,1,111320,79.2,1,,,,,,,,
1,0,19,0,0,111361,0,0,,,,,,,,
1,1,37,1,0,111361,53.1,0,,,,,,,,
1,1,35,1,0,111369,53.1,1,,,,,,,,
1,0,47,0,0,111426,38.5,0,,,,,,,,
1,1,35,0,0,111427,211.5,1,,,,,,,,
1,0,22,0,1,111428,59.4,1,,,,,,,,
1,1,45,0,1,112050,59.4,1,,,,,,,,
1,0,24,0,0,112051,79.2,0,,,,,,,,
1,1,49,1,0,112052,89.1042,1,,,,,,,,
1,1,19,1,0,112053,89.1042,1,,,,,,,,
1,0,71,0,0,112058,34.6542,0,,,,,,,,
1,1,53,0,0,112058,28.5,1,,,,,,,,
1,0,19,0,0,112059,30,1,,,,,,,,
1,1,38,0,1,112277,153.4625,0,,,,,,,,
1,1,58,0,1,112377,153.4625,1,,,,,,,,
1,0,23,0,1,112378,63.3583,1,,,,,,,,
1,0,45,0,1,112378,63.3583,1,,,,,,,,
1,0,46,0,0,112379,79.2,0,,,,,,,,
1,1,25,1,0,112901,55.4417,1,,,,,,,,
1,0,25,1,0,113028,55.4417,1,,,,,,,,
1,1,48,1,0,113038,76.7292,1,,,,,,,,
1,1,49,1,0,113043,76.7292,1,,,,,,,,
1,0,19,0,0,113044,42.4,0,,,,,,,,
1,0,45,1,0,113050,83.475,0,,,,,,,,
1,0,35,1,0,113051,83.475,1,,,,,,,,
1,1,40,0,0,113054,0,0,,,,,,,,
1,1,27,0,0,113055,76.7292,1,,,,,,,,
1,1,19,0,0,113056,30,1,,,,,,,,
1,1,24,0,0,113059,83.1583,1,,,,,,,,
1,1,55,1,1,113059,93.5,0,,,,,,,,
1,1,52,1,1,113501,93.5,1,,,,,,,,
1,1,42,0,0,113503,42.5,0,,,,,,,,
1,0,19,0,0,113503,51.8625,0,,,,,,,,
1,0,55,0,0,113503,50,0,,,,,,,,
1,0,16,0,1,113503,57.9792,1,,,,,,,,
1,0,44,0,1,113503,57.9792,1,,,,,,,,
1,1,51,1,0,113505,77.9583,1,,,,,,,,
1,1,42,1,0,113505,52,0,,,,,,,,
1,0,35,1,0,113509,52,1,,,,,,,,
1,0,35,0,0,113509,26.55,1,,,,,,,,
1,0,38,1,0,113510,90,1,,,,,,,,
1,1,19,0,0,113514,30.6958,0,,,,,,,,
1,0,35,1,0,113572,90,1,,,,,,,,
1,1,38,0,0,113572,80,1,,,,,,,,
1,0,50,0,0,113760,28.7125,0,,,,,,,,
1,0,49,0,0,113760,0,1,,,,,,,,
1,1,46,0,0,113760,26,0,,,,,,,,
1,0,50,0,0,113760,26,0,,,,,,,,
1,1,32.5,0,0,113767,211.5,0,,,,,,,,
1,0,58,0,0,113773,29.7,0,,,,,,,,
